time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled,time(sec), throughput(req/sec), avg_lat(ms)
250,4.4,5026.588,1110.837,4232.046,4800.998,6371.597,7682.716,7823.041,10288.823,10288.823,0,,,
255,4,5842.043,1006.582,3949.425,6730.706,7698.46,8643.843,9845.431,9845.431,9845.431,0,,,
260,3.6,5198.694,1004.666,1726.846,5285.168,8829.797,9135.458,9572.145,9572.145,9572.145,0,,,
265,3.6,4754.997,1003.528,1617.993,5536.807,5987.414,8902.657,9407.99,9407.99,9407.99,0,,,
270,3.8,5784.939,1008.632,1885.784,5461.592,8535.514,9303.735,9978.847,9978.847,9978.847,0,,,
275,3.2,5950.045,1006.027,4817.187,6086.916,9344.504,9804.139,10447.084,10447.084,10447.084,0,,,
280,3.4,5167.172,1034.789,1768.284,5827.897,7255.057,8158.649,9344.541,9344.541,9344.541,0,,,
285,4,5128.396,1660.096,3664.027,4959.548,7340.466,8642.303,10097.929,10097.929,10097.929,0,,,
290,4.2,4856.034,1006.908,2262.143,5051.923,7098.013,7363.989,8460.456,11102.346,11102.346,0,,,
295,4,5000.09,1005.91,1668.509,5787.951,6621.644,8372.69,10307.147,10307.147,10307.147,0,,,
300,3.8,4566.469,1003.788,3588.378,4415.486,6711.987,7664.649,7830.606,7830.606,7830.606,0,,,
305,4.8,5055.53,1005.224,4414.834,4682.144,7312.446,7438.15,8195.472,12741.654,12741.654,0,,,
310,3.4,5614.047,1005.997,4157.307,4916.942,8082.614,8692.304,12382.791,12382.791,12382.791,0,,,
315,4.2,5707.169,999.893,1585.151,5835.319,9492.879,10210.391,12342.152,14278.103,14278.103,0,,,
320,3.2,5586.272,1516.841,3396.007,5401.152,8315.717,9200.322,12374.045,12374.045,12374.045,0,,,
325,3.2,7083.023,1809.4,4006.279,7179.892,10596.576,11332.42,16668.819,16668.819,16668.819,0,,,
330,3.8,5124.685,1006.051,1659.105,3096.778,8717.99,11940.767,13243.662,13243.662,13243.662,0,,,
335,3.8,4901.116,1006.832,1701.016,2812.106,9285.549,12225.05,13786.882,13786.882,13786.882,0,,,
340,3.2,5369.245,1007.205,1894.71,4890.778,8448.672,8942.362,12047.778,12047.778,12047.778,0,,,
345,3.4,5171.499,999.531,1927.421,5709.307,6110.542,9151.046,9367.812,9367.812,9367.812,0,,,
350,3.2,5242.165,1004.908,4307.86,4887.597,7613.226,8783.826,9759.855,9759.855,9759.855,0,,,
355,3.8,6077.57,1023.086,3975.488,5918.29,8633.225,11419.842,12006.829,12006.829,12006.829,0,,,
