time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled
245,659.800,1023.952,993.926,1003.808,1017.253,1018.566,1028.079,1078.872,1211.291,1632.826,0.001
250,692.600,1022.980,999.525,1003.390,1016.855,1018.412,1035.318,1076.301,1263.933,1501.138,0.001
255,79.400,1205.732,999.508,1002.999,1016.880,1017.900,1026.443,1059.280,5808.963,5810.031,0.001
260,454.600,1161.189,999.569,1002.616,1016.179,1017.560,1024.436,1051.687,1109.714,21861.356,0.001
265,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
270,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
275,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
280,320.400,1018.726,999.629,1004.965,1016.849,1017.840,1026.172,1076.864,1118.267,1144.596,0.001
285,130.200,1450.164,999.215,1007.566,1016.795,1017.512,1018.602,1027.785,18755.329,18756.383,0.001
290,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
295,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
300,239.200,1022.226,994.340,1009.332,1016.839,1017.863,1050.091,1076.276,1166.600,1368.045,0.001
305,495.200,1031.906,999.704,1006.485,1016.747,1017.923,1056.313,1109.069,1243.238,2201.317,0.001
310,314.000,1221.903,999.617,1003.281,1016.436,1017.489,1025.079,1061.634,21297.767,21332.723,0.001
315,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
320,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
325,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
330,403.600,1024.968,999.615,1006.799,1016.545,1017.553,1027.495,1108.133,1298.997,1475.712,0.001
335,636.600,1024.835,997.378,1007.930,1016.632,1017.549,1034.765,1083.939,1165.925,2007.811,0.001
340,859.800,1018.274,996.427,1004.068,1016.303,1017.339,1025.259,1050.539,1116.408,1702.609,0.001
345,796.000,1019.815,997.907,1003.974,1016.418,1017.392,1025.612,1076.591,1140.778,1497.237,0.001
350,124.200,1243.585,999.843,1001.630,1016.336,1017.578,1049.694,1134.052,9727.959,9737.467,0.001
355,90.800,1018.534,999.749,1005.811,1016.475,1017.363,1040.756,1082.567,1091.777,1092.940,0.001
360,783.000,1120.615,999.616,1003.425,1016.150,1017.144,1024.387,1033.368,1100.092,27625.694,0.001
365,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
370,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
375,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
380,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
385,2.800,1919.765,1000.781,1001.065,2482.550,2483.742,2483.770,2483.816,2483.816,2483.816,0.001
390,925.400,1019.567,999.084,1003.588,1016.127,1017.051,1024.419,1032.671,1099.606,2209.311,0.001
395,803.400,1015.040,994.434,1003.212,1016.098,1017.052,1024.203,1033.821,1096.262,1150.180,0.001
400,144.600,1390.830,998.175,1001.578,1014.809,1016.805,1017.904,1025.830,18139.661,18191.596,0.001
405,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
410,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
415,400.200,1018.692,992.736,1003.912,1016.162,1017.025,1024.528,1057.860,1149.660,1326.365,0.001
420,636.000,1037.129,999.379,1002.403,1015.796,1016.905,1018.329,1026.791,1075.560,6879.944,0.001
425,11.400,1863.009,1000.134,1001.569,2066.230,2234.332,3282.614,3283.505,3283.801,3283.801,0.001
430,20.000,1765.147,999.872,1724.928,1907.567,1975.877,2174.830,2266.029,2266.453,2266.453,0.001
435,406.000,1036.263,999.650,1002.116,1015.726,1017.091,1025.635,1083.539,1989.043,2042.925,0.001
440,621.200,1106.356,999.627,1004.187,1016.222,1017.089,1023.969,1041.588,1091.778,19000.250,0.001
445,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
450,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
455,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
460,378.800,1035.971,999.285,1004.837,1016.195,1017.033,1025.217,1075.878,1891.560,2125.694,0.001
465,837.000,1087.364,994.795,1003.026,1016.005,1016.860,1017.961,1025.544,1084.681,20371.040,0.001
470,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
475,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
480,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
485,343.600,1018.906,999.643,1003.496,1015.991,1016.885,1017.840,1034.605,1183.548,1376.332,0.001
