time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled,time(sec), throughput(req/sec) 1, avg_lat(ms) 1 ,Êthroughput(req/sec) 2,Êavg_lat(ms) 2,,cockroach - time(sec),Êcockroach - throughput(req/sec),Êcockroach - avg_lat(ms),cockroach - time(sec),Êcockroach - throughput(req/sec),Êcockroach - avg_lat(ms),, throughput(req/sec) 3, avg_lat(ms) 3,, throughput(req/sec) 5, avg_lat(ms) 5
0,118.4,972.252,192.73,1012.515,1016.411,1017.118,1032.59,1041.501,1083.71,1125.367,0.001,245,67.4,1029.263,101.4,1019.64,,0,7.4,4389.415,245,3.8,4706.514,,120,1132.836,,18.4,1806.359
5,105.8,1018.841,1000.353,1015.812,1016.572,1017.191,1032.521,1042.109,1083.472,1124.749,0.001,495,80.4,1025.141,99.4,1019.794,,5,3.8,4870.69,495,4.8,4848.97,,164.6,1095.913,,0,-0.001
10,107.8,1018.433,1000.486,1015.93,1016.527,1017.173,1026.148,1041.595,1074.759,1124.942,0.001,745,78.2,1025.48,103.8,1019.078,,10,4.4,4378.645,745,3.6,5692.493,,173.2,1089.806,,870,1017.805
15,108.8,1018.321,999.991,1016.061,1016.678,1017.191,1029.027,1041.342,1067.722,1088.265,0.001,995,96.6,1020.505,43,1020.954,,15,4.4,5193.381,995,3.8,5462.668,,144.6,1111.214,,275.4,1245.052
20,113.4,1017.514,985.596,1016.075,1016.59,1017.097,1024.423,1033.684,1066.943,1124.958,0.001,1245,36,1020.617,1.6,1768.704,,20,4.4,5293.835,1245,4,5756.778,,190.2,1084.465,,883,1017.772
25,110.2,1018.067,1000.013,1015.953,1016.612,1017.134,1024.59,1034.947,1083.132,1108.539,0.001,1495,91.6,1021.881,60.2,1020.771,,25,3.4,5534.152,1495,3.6,4468.074,,174.4,1091.956,,275.6,1157.414
30,94.2,1021.178,999.767,1016.143,1016.665,1017.305,1033.837,1058.886,1092.545,1117.044,0.001,1745,95,1020.972,27,1027.535,,30,4.4,4395.561,1745,3.8,5008.531,,189.4,1081.684,,817.4,1019.192
35,99.6,1019.993,1000.107,1016.046,1016.609,1017.09,1024.923,1059.052,1114.978,1133,0.001,1995,96.2,1020.704,97,1020.604,,35,3.6,5388.329,1995,3.4,5307.981,,148.8,1102.806,,263.8,1251.158
40,91,1021.898,999.724,1016.192,1016.688,1017.214,1049.89,1060.241,1108.415,1157.476,0.001,2245,85.4,1023.4,100.4,1019.836,,40,2.8,6924.111,2245,3.6,5295.584,,0,-0.001,,0,-0.001
45,97,1020.549,999.851,1015.994,1016.571,1017.16,1032.381,1066.508,1107.658,1116.884,0.001,2495,0,-0.001,100,1020.223,,45,4,4229.983,2495,3.4,6006.346,,186.8,1084.133,,58.4,1592.738
50,89.6,1022.28,1000.221,1016.087,1016.655,1017.212,1042,1066.296,1125.565,1167.227,0.001,2745,80.4,1024.784,103.6,1019.203,,50,5,4588.502,2745,4,4443.55,,212.6,1075.93,,767.4,1020.462
55,92.4,1021.571,999.93,1015.95,1016.524,1017.099,1050.226,1066.94,1116.529,1149.905,0.001,2995,92.6,1021.444,105,1018.952,,55,3.8,5233.604,2995,3.4,5330.61,,147.2,1585.308,,150,1088.851
60,79,1025.228,1000.191,1016.095,1016.696,1017.469,1060.488,1084.044,1124.918,1139.247,0.001,3245,96.8,1020.589,90.8,1022.128,,60,3.6,5277.529,3245,4.4,5014.634,,194.4,1079.374,,25,2400.48
65,94,1021.182,999.955,1015.973,1016.58,1017.135,1032.335,1066.974,1116.448,1167.282,0.001,3495,91,1021.894,95,1020.943,,65,4.2,4857.428,3495,3.6,5529.58,,215.8,1074.05,,243,1191.084
70,85.6,1023.298,999.978,1016.134,1016.661,1017.535,1057.657,1075.452,1106.159,1165.191,0.001,3745,88.6,1022.497,99.6,1020.068,,70,3.6,5773.778,3745,3.8,4668.501,,204.4,1078.044,,0,-0.001
75,93,1021.446,999.818,1015.869,1016.519,1017.156,1049.256,1072.919,1107.061,1158.633,0.001,3995,96.8,1020.888,59,1100.261,,75,3.4,4781.4,3995,4.2,4540.369,,222.6,1072.99,,0,-0.001
80,90.8,1021.895,999.829,1016.054,1016.624,1017.191,1033.677,1074.608,1133.28,1149.862,0.001,4245,92,1021.643,104.8,1018.855,,80,3.8,5307.229,4245,4.8,5305.381,,0,-0.001,,38.2,1173.567
85,86.8,1023.07,995.333,1016.111,1016.678,1017.289,1058.17,1076.021,1105.899,1174.534,0.001,4495,89,1022.393,98.2,1020.256,,85,4.6,4785.375,4495,4,5130.775,,28.6,1413.188,,858,1018.249
90,90.6,1021.839,1000.136,1016.016,1016.628,1017.142,1033.653,1067.41,1133.323,1166.985,0.001,4745,41.2,1030.049,95.2,1020.902,,90,4.4,4306.718,4745,3.8,4544.596,,90.2,1087.876,,18.8,1868.972
95,104.8,1019.01,1000.033,1016.1,1016.602,1017.142,1025.035,1050.452,1082.625,1150.36,0.001,4995,95.6,1020.846,103.8,1019.177,,95,4.6,5053.601,4995,3.6,5363.869,,236,1067.998,,205.6,1251.519
100,90,1022.641,1000.261,1016.106,1016.659,1017.299,1049.786,1074.351,1100.639,1156.512,0.001,5245,96.4,1020.72,0,-0.001,,100,3.8,4934.164,5245,5.2,4838.925,,212.8,1074.913,,518,1030.081
105,81.4,1024.198,999.628,1016.01,1016.69,1017.531,1066.38,1083.066,1091.961,1118.255,0.001,5495,8.2,1532.327,102.6,1019.464,,105,3.2,5235.84,5495,4.2,5162.963,,227,1069.183,,289.6,1054.699
110,84.6,1023.418,1000.155,1016.134,1016.675,1017.31,1050.439,1074.808,1132.658,1150.327,0.001,5745,76.6,1026.043,100.6,1019.835,,110,3.8,6109.375,5745,3,4599.084,,110,1073.233,,350.8,1038.468
115,98.8,1020.174,999.925,1016.179,1016.646,1017.123,1025.776,1058.342,1091.819,1101.065,0.001,5995,85.6,1023.173,74.6,1026.723,,115,3.6,6332.26,5995,5.2,3832.681,,122.6,1121.381,,339,1041.728
120,92,1021.811,996.62,1016.057,1016.662,1017.282,1041.382,1066.849,1108.762,1125.515,0.001,6245,0,-0.001,88.2,1020.991,,120,3,4836.603,6245,5,4366.4,,223.4,1071.469,,797.8,1019.694
125,86,1023.055,1000.342,1016.168,1016.665,1017.239,1050.91,1075.75,1125.485,1167.024,0.001,6495,68.4,1029.401,89.4,1022.196,,125,4.2,5668.495,6495,3,6588.406,,15.6,2058.053,,226,1221.899
130,83.6,1023.815,999.859,1016.041,1016.667,1017.392,1065.029,1075.151,1092.039,1133.708,0.001,6745,88,1022.65,1,1091.883,,130,3.8,3926.718,6745,4,5666.632,,231.2,1067.96,,0,-0.001
135,78.6,1025.384,1000.374,1016.139,1016.666,1017.377,1065.691,1084.012,1133.374,1159.041,0.001,6995,97.8,1020.492,94.2,1021.093,,135,5,4584.093,6995,5,4640.758,,215.2,1073.574,,0,-0.001
140,88,1022.626,999.763,1016.051,1016.614,1017.165,1057.534,1067.528,1130.796,1182.455,0.001,,,,,,,140,3.6,6036.19,,,,,,,,,
145,87,1022.923,999.8,1016.016,1016.586,1017.262,1058.187,1074.304,1118.319,1181.77,0.001,,,,,,,145,3.6,4644.434,,,,,,,,,
150,81.2,1024.714,999.783,1015.843,1016.614,1017.5,1066.229,1075.358,1124.898,1150.569,0.001,,,,,,,150,4.6,4700.051,,,,,,,,,
155,83,1024.055,1000.067,1016.025,1016.667,1017.557,1057.701,1083.042,1116.122,1139.694,0.001,,,,,,,155,3.4,5044.643,,,,,,,,,
160,80,1024.644,999.914,1016.138,1016.72,1017.644,1058.226,1083.645,1149.685,1191.729,0.001,,,,,,,160,4.2,5133.246,,,,,,,,,
165,78,1025.519,1000.092,1015.99,1016.653,1017.511,1066.494,1075.745,1125.606,1192.35,0.001,,,,,,,165,4.2,5558.177,,,,,,,,,
170,79.8,1025.023,999.722,1016.032,1016.694,1017.774,1059.249,1075.116,1133.97,1165.164,0.001,,,,,,,170,3.6,6554.51,,,,,,,,,
175,77.8,1025.648,999.577,1016.073,1016.65,1017.354,1065.919,1084.435,1150.329,1167.147,0.001,,,,,,,175,3.6,3463.597,,,,,,,,,
180,75.6,1026.352,999.875,1016.047,1016.606,1017.375,1067.452,1084.264,1175.695,1242.248,0.001,,,,,,,180,3.6,5386.691,,,,,,,,,
185,75,1026.627,1000.31,1015.867,1016.645,1017.652,1066.895,1084.067,1150.147,1208.955,0.001,,,,,,,185,4.6,4029.541,,,,,,,,,
190,74.4,1026.904,1000.449,1015.769,1016.671,1024.423,1067.557,1091.816,1150.169,1173.274,0.001,,,,,,,190,4.8,5446.831,,,,,,,,,
195,75.4,1026.423,1000.581,1015.962,1016.721,1017.609,1065.913,1083.531,1125.752,1159.014,0.001,,,,,,,195,4,4398.185,,,,,,,,,
200,74,1027.047,999.889,1016.005,1016.58,1017.632,1074.221,1083.459,1133.883,1200.62,0.001,,,,,,,200,4.4,4007.306,,,,,,,,,
205,66.4,1030.386,1000.292,1016.2,1016.756,1024.788,1067.423,1100.247,1175.262,1309.086,0.001,,,,,,,205,4.2,4804.471,,,,,,,,,
210,77.2,1025.403,1000.164,1016.064,1016.58,1017.479,1059.283,1082.481,1141.128,1224.746,0.001,,,,,,,210,4.2,5756.052,,,,,,,,,
215,87.2,1022.885,1000.421,1016.159,1016.754,1017.492,1050.26,1066.897,1091.926,1208.825,0.001,,,,,,,215,3.6,4901.701,,,,,,,,,
220,75.8,1026.353,1000.05,1016.347,1017.042,1018.696,1067.447,1085.116,1126.304,1134.09,0.001,,,,,,,220,4,4878.56,,,,,,,,,
225,78.4,1025.43,1000.231,1016.548,1017.267,1018.471,1065.182,1082.84,1109.106,1135.321,0.001,,,,,,,225,4,5249.892,,,,,,,,,
230,72.2,1027.685,1000.037,1016.54,1017.3,1025.603,1067.716,1077.887,1142.477,1200.048,0.001,,,,,,,230,4.2,4409.346,,,,,,,,,
235,79.4,1025.075,1000.341,1016.386,1017.139,1023.861,1059.094,1075.422,1117.317,1134.437,0.001,,,,,,,235,3.6,5524.275,,,,,,,,,
240,75.2,1026.798,1000.14,1016.286,1016.928,1017.768,1073.126,1092.984,1143.062,1175.527,0.001,,,,,,,240,3.2,5596.9,,,,,,,,,
245,67.4,1029.263,999.489,1016.153,1017.003,1025.126,1075.23,1093.224,1163.679,1177.355,0.001,,,,,,,245,3.8,4706.514,,,,,,,,,
250,72,1027.844,1000.719,1016.293,1016.931,1024.669,1066.505,1100.008,1134.6,1191.985,0.001,,,,,,,250,4.2,6579.243,,,,,,,,,
255,75.8,1026.169,999.845,1016.146,1016.955,1024.492,1067.127,1084.108,1116.495,1207.747,0.001,,,,,,,255,3.6,5496.422,,,,,,,,,
260,79.4,1025.129,1000.193,1015.807,1016.751,1017.716,1067.754,1090.831,1147.788,1226.184,0.001,,,,,,,260,4.6,4173.706,,,,,,,,,
265,74.2,1026.942,1000.053,1016.356,1016.952,1024.687,1067.978,1092.153,1109.433,1118.223,0.001,,,,,,,265,4.2,4724.131,,,,,,,,,
270,76,1026.256,999.907,1016.275,1016.848,1018.099,1067.675,1090.896,1133.538,1185.743,0.001,,,,,,,270,3.8,5351.478,,,,,,,,,
275,79.8,1024.996,1000.327,1016.203,1016.81,1017.837,1058.658,1084.55,1125.112,1141.867,0.001,,,,,,,275,4,4387.613,,,,,,,,,
280,78.4,1025.539,999.618,1016.368,1016.949,1018.664,1059.044,1082.794,1117.008,1168.116,0.001,,,,,,,280,4,5870.737,,,,,,,,,
285,76.2,1026.028,999.685,1016.192,1016.875,1023.841,1059.156,1084.308,1149.918,1208.402,0.001,,,,,,,285,3,5597.633,,,,,,,,,
290,86.6,1023.023,1000.061,1016.146,1016.698,1017.368,1050.169,1075.524,1118.192,1126.482,0.001,,,,,,,290,3.2,5779.981,,,,,,,,,
295,79.6,1025.741,1000.228,1016.223,1016.774,1017.873,1059.386,1081.942,1142.439,1208.869,0.001,,,,,,,295,3.8,5049.067,,,,,,,,,
300,65.4,1029.649,999.715,1016.264,1016.906,1024.621,1075.064,1099.931,1159.354,1175.164,0.001,,,,,,,300,4.2,5294.702,,,,,,,,,
305,75.4,1026.489,999.996,1016.223,1016.838,1023.571,1066.512,1083.951,1116.468,1224.829,0.001,,,,,,,305,3.8,5186.674,,,,,,,,,
310,68.4,1029.177,1000.546,1016.127,1016.926,1033.096,1074.773,1084.463,1101.312,1142.255,0.001,,,,,,,310,3.8,4543.234,,,,,,,,,
315,75.2,1026.601,1000.586,1016.11,1016.786,1017.81,1066.91,1083.454,1140.944,1149.37,0.001,,,,,,,315,3.4,5979.935,,,,,,,,,
320,67.6,1029.443,1000.032,1016.157,1016.866,1032.94,1075.081,1085.041,1122.643,1174.861,0.001,,,,,,,320,3.8,5265.441,,,,,,,,,
325,62.6,1032.05,999.973,1016.125,1016.773,1032.769,1082.613,1116.835,1166.916,1258.55,0.001,,,,,,,325,4.4,5570.21,,,,,,,,,
330,67.6,1029.767,1000.095,1016.175,1016.821,1026.624,1075.262,1091.969,1133.933,1164.398,0.001,,,,,,,330,3.2,5615.245,,,,,,,,,
335,86.6,1022.881,1000.075,1016.119,1016.744,1017.39,1055.261,1075.317,1101.546,1183.529,0.001,,,,,,,335,3.4,5142.073,,,,,,,,,
340,79.4,1024.896,1000.134,1016.112,1016.749,1024.554,1058.574,1076.013,1126.001,1166.181,0.001,,,,,,,340,3.2,7118.959,,,,,,,,,
345,75.6,1026.446,999.947,1016.074,1016.716,1020.245,1066.405,1084.289,1134.829,1199.731,0.001,,,,,,,345,3,5440.284,,,,,,,,,
350,73.4,1027.084,999.426,1016.123,1016.729,1024.643,1074.401,1097.218,1117.326,1125.716,0.001,,,,,,,350,4.4,4115.797,,,,,,,,,
355,65.4,1030.514,999.515,1015.992,1016.695,1024.806,1079.225,1100.761,1166.709,1208.581,0.001,,,,,,,355,4.2,4910.363,,,,,,,,,
360,66.8,1029.955,1000.568,1016.265,1016.889,1025.211,1075.206,1092.909,1159.433,1217.392,0.001,,,,,,,360,4.2,5519.209,,,,,,,,,
365,68.4,1029.33,1000.227,1016.259,1016.834,1026.052,1074.826,1092.177,1125.943,1183.216,0.001,,,,,,,365,3.4,6207.516,,,,,,,,,
370,67.6,1029.784,1000.008,1015.986,1016.79,1025.412,1075.158,1091.741,1166.497,1240.892,0.001,,,,,,,370,2.8,5462.957,,,,,,,,,
375,79,1025.327,999.601,1016.062,1016.802,1023.341,1059.613,1083.865,1126.574,1175.023,0.001,,,,,,,375,3.8,5654.34,,,,,,,,,
380,75.4,1026.307,1000.256,1016.238,1016.727,1017.489,1067.101,1091.327,1150.207,1159.071,0.001,,,,,,,380,3.4,4170.723,,,,,,,,,
385,76,1025.942,1000.129,1016.01,1016.645,1017.703,1066.032,1084.72,1125.3,1142.365,0.001,,,,,,,385,4.4,4416.524,,,,,,,,,
390,79.6,1025.301,1000.105,1016.121,1016.679,1017.334,1059.225,1087.304,1141.561,1167.048,0.001,,,,,,,390,4.6,5400.443,,,,,,,,,
395,74.8,1026.403,1000.259,1016.045,1016.696,1017.378,1066.486,1107.531,1149.781,1216.509,0.001,,,,,,,395,3.6,4903.606,,,,,,,,,
400,75.8,1026.44,1000.149,1016.129,1016.743,1017.619,1072.417,1091.709,1117.072,1141.565,0.001,,,,,,,400,5,4806.077,,,,,,,,,
405,80,1024.81,1000.159,1016.061,1016.752,1020.723,1058.363,1075.249,1132.67,1217.527,0.001,,,,,,,405,3.4,5108.714,,,,,,,,,
410,75,1026.596,999.314,1016.093,1016.76,1017.744,1066.206,1091.484,1158.334,1233.577,0.001,,,,,,,410,3.2,4989.161,,,,,,,,,
415,80,1025.146,999.827,1016.11,1016.775,1025.125,1059.274,1075.575,1108.7,1126.645,0.001,,,,,,,415,5.6,3688.265,,,,,,,,,
420,76,1026.017,1000.184,1015.981,1016.728,1017.641,1066.269,1075.704,1141.612,1159.074,0.001,,,,,,,420,5,5093.294,,,,,,,,,
425,79,1025.319,1000.31,1016.077,1016.69,1017.54,1058.926,1082.737,1150.746,1183.85,0.001,,,,,,,425,4.2,4673.981,,,,,,,,,
430,80.4,1024.96,999.588,1015.955,1016.663,1017.363,1066.079,1075.495,1116.497,1234.921,0.001,,,,,,,430,3.8,4674.273,,,,,,,,,
435,80.4,1024.634,1000.312,1016.116,1016.702,1017.345,1058.858,1080.954,1108.878,1200.259,0.001,,,,,,,435,4.2,5368.757,,,,,,,,,
440,76.2,1026.544,999.946,1016.127,1016.77,1024.151,1066.425,1083.63,1141.896,1175.907,0.001,,,,,,,440,3.2,5567.624,,,,,,,,,
445,70.6,1027.877,1000.122,1015.938,1016.745,1024.692,1066.851,1092.246,1183.687,1250.667,0.001,,,,,,,445,4.2,5495.992,,,,,,,,,
450,67.4,1029.805,1000.343,1016.163,1016.866,1025.245,1074.809,1090.936,1166.416,1242.096,0.001,,,,,,,450,3.4,4706.238,,,,,,,,,
455,70.2,1028.432,1000.571,1016.037,1016.727,1025.497,1074.513,1093.331,1121.314,1142.069,0.001,,,,,,,455,4.2,4781.268,,,,,,,,,
460,79,1025.085,1000.221,1016.058,1016.672,1017.695,1066.202,1082.9,1116.932,1134.112,0.001,,,,,,,460,4.6,5236.765,,,,,,,,,
465,72.8,1027.591,1000.426,1016.264,1016.872,1025.074,1067.382,1083.518,1124.647,1150.301,0.001,,,,,,,465,3.4,5828.13,,,,,,,,,
470,73.8,1027.076,1000.344,1016.106,1016.84,1025.17,1072.945,1090.454,1106.489,1150.457,0.001,,,,,,,470,3.4,6533.386,,,,,,,,,
475,74.2,1027.082,999.84,1016.173,1016.793,1024.416,1066.498,1091.821,1126.093,1175.045,0.001,,,,,,,475,4.6,3944.166,,,,,,,,,
480,67.6,1029.114,1000.465,1016.102,1016.76,1025.391,1075.696,1092.165,1148.535,1183.825,0.001,,,,,,,480,3.4,6107.467,,,,,,,,,
485,74.8,1026.801,1000.375,1016.215,1016.761,1024.564,1066.957,1090.748,1116.372,1175.445,0.001,,,,,,,485,4.2,4070.089,,,,,,,,,
490,82.6,1023.97,1000.126,1016.011,1016.652,1017.506,1063.598,1076.147,1100.731,1125.322,0.001,,,,,,,490,3,5606.403,,,,,,,,,
495,80.4,1025.141,1000.127,1016.15,1016.707,1017.575,1066.412,1084.363,1108.525,1132.37,0.001,,,,,,,495,4.8,4848.97,,,,,,,,,
500,86.6,1022.972,1000.181,1016.106,1016.702,1017.589,1057.291,1067.402,1091.29,1134.396,0.001,,,,,,,500,4.2,3716.376,,,,,,,,,
505,78.2,1025.374,1000.28,1016.111,1016.74,1017.477,1065.562,1083.488,1125.525,1192.684,0.001,,,,,,,505,4.6,4730.484,,,,,,,,,
510,81.2,1024.607,1000.275,1015.973,1016.695,1017.435,1066.613,1091.547,1113.987,1125.789,0.001,,,,,,,510,5.2,4990.268,,,,,,,,,
515,73.8,1026.843,1000.023,1016.101,1016.775,1024.528,1066.708,1083.16,1158.206,1167.4,0.001,,,,,,,515,3.6,4594.875,,,,,,,,,
520,83.6,1023.999,1000.483,1016.001,1016.651,1017.423,1058.492,1075.767,1133.021,1142.7,0.001,,,,,,,520,3.6,6398.912,,,,,,,,,
525,74.2,1026.661,999.706,1016.058,1016.776,1017.836,1058.931,1083.427,1142.136,1174.667,0.001,,,,,,,525,3.4,4726.535,,,,,,,,,
530,73.8,1027.023,999.668,1016.132,1016.719,1024.912,1067.168,1084.521,1142.137,1225.655,0.001,,,,,,,530,4,4754.321,,,,,,,,,
535,83,1024.087,1000.27,1016.24,1016.729,1017.449,1059.032,1075.406,1100.694,1133.907,0.001,,,,,,,535,4,5196.595,,,,,,,,,
540,78.2,1025.654,1000.066,1016.094,1016.726,1017.676,1066.755,1083.501,1108.355,1207.059,0.001,,,,,,,540,4,5566.461,,,,,,,,,
545,58.6,1033.95,999.727,1016.061,1016.949,1049.244,1083.275,1109.352,1158.466,1208.653,0.001,,,,,,,545,4.4,4279.433,,,,,,,,,
550,78,1025.8,999.97,1016.198,1016.743,1017.451,1063.945,1091.169,1132.513,1184.397,0.001,,,,,,,550,3.6,5911.648,,,,,,,,,
555,81,1024.3,1000.15,1015.912,1016.638,1017.326,1059.185,1081.056,1115.916,1167.883,0.001,,,,,,,555,4,4323.613,,,,,,,,,
560,85.4,1023.365,999.824,1016.187,1016.681,1017.235,1058.082,1074.452,1122.02,1167.328,0.001,,,,,,,560,4,5537.722,,,,,,,,,
565,74.2,1026.855,1000.091,1015.896,1016.639,1018.931,1074.85,1091.72,1125.924,1150.601,0.001,,,,,,,565,4.2,4481.626,,,,,,,,,
570,85.8,1023.243,999.82,1016.114,1016.696,1017.395,1058.208,1075.589,1101.149,1133.963,0.001,,,,,,,570,4.2,4407.632,,,,,,,,,
575,69,1028.868,1000.109,1016.116,1016.742,1025.196,1058.922,1082.748,1224.879,1342.313,0.001,,,,,,,575,4,5981.769,,,,,,,,,
580,77.8,1025.701,999.723,1016.095,1016.638,1017.317,1075.289,1092.012,1121.533,1159.224,0.001,,,,,,,580,3.2,5510.236,,,,,,,,,
585,72.4,1027.467,1000.497,1016.09,1016.743,1024.899,1068.127,1089.475,1117.115,1126.303,0.001,,,,,,,585,4.2,4111.624,,,,,,,,,
590,80,1024.937,1000.006,1016.164,1016.725,1017.385,1059.509,1080.893,1142.508,1184.268,0.001,,,,,,,590,5.4,4021.884,,,,,,,,,
595,77.4,1025.78,1000.33,1016.1,1016.716,1017.669,1058.74,1074.866,1166.332,1316.609,0.001,,,,,,,595,4.4,4669.053,,,,,,,,,
600,66.2,1030.285,1000.443,1016.088,1016.845,1033.043,1075.645,1092.851,1132.318,1155.687,0.001,,,,,,,600,3.8,5848.379,,,,,,,,,
605,67.6,1029.465,1000.353,1016.117,1016.767,1025.196,1075.246,1108.202,1150.665,1167.492,0.001,,,,,,,605,3.8,5347.78,,,,,,,,,
610,83.8,1023.745,1000.136,1016.031,1016.633,1017.332,1058.996,1082.809,1108.074,1116.55,0.001,,,,,,,610,3.8,4840.641,,,,,,,,,
615,76.4,1026.104,1000.19,1016.074,1016.73,1024.439,1066.916,1083.226,1107.921,1108.898,0.001,,,,,,,615,4.6,4817.075,,,,,,,,,
620,88.8,1022.765,1000.305,1015.934,1016.552,1017.325,1058.342,1074.763,1101.24,1133.857,0.001,,,,,,,620,4,5925.637,,,,,,,,,
625,73.8,1026.977,1000.206,1016.077,1016.664,1017.632,1074.012,1091.436,1117.274,1175.413,0.001,,,,,,,625,2.6,6826.042,,,,,,,,,
630,77.2,1025.843,1000.499,1016.054,1016.677,1022.508,1066.983,1083.645,1117.118,1191.929,0.001,,,,,,,630,3.4,4931.73,,,,,,,,,
635,84,1023.434,999.706,1015.928,1016.593,1017.32,1058.808,1083.726,1109.507,1134.873,0.001,,,,,,,635,3.6,5119.456,,,,,,,,,
640,79.6,1025.099,999.828,1015.906,1016.74,1024.098,1058.952,1075.86,1113.979,1158.571,0.001,,,,,,,640,3.4,4517.431,,,,,,,,,
645,75.2,1026.598,1000.318,1016.091,1016.625,1017.52,1067.152,1084.266,1129.124,1167.034,0.001,,,,,,,645,4.8,5030.042,,,,,,,,,
650,80.2,1024.97,999.943,1016.053,1016.698,1017.365,1059.306,1082.931,1117.307,1174.6,0.001,,,,,,,650,4,6008.748,,,,,,,,,
655,86.4,1023.042,999.958,1016.131,1016.68,1017.198,1050.286,1074.443,1124.999,1173.064,0.001,,,,,,,655,3.4,5486.019,,,,,,,,,
660,78.4,1025.337,1000.395,1015.954,1016.638,1017.396,1067.403,1083.529,1116.798,1125.926,0.001,,,,,,,660,3.2,4764.262,,,,,,,,,
665,91.2,1021.862,1000.067,1016.15,1016.667,1017.345,1047.618,1067.34,1092.595,1134.04,0.001,,,,,,,665,3.6,5279.513,,,,,,,,,
670,83.6,1024.04,999.699,1016.083,1016.685,1017.201,1065.724,1076.644,1107.474,1125.431,0.001,,,,,,,670,3.8,5299.949,,,,,,,,,
675,80,1024.778,1000.121,1016.078,1016.693,1017.505,1066.723,1076.422,1117.054,1148.548,0.001,,,,,,,675,5.4,4234.778,,,,,,,,,
680,83.8,1023.769,999.825,1015.853,1016.625,1017.492,1059.025,1075.603,1116.55,1141.43,0.001,,,,,,,680,4.2,4811.714,,,,,,,,,
685,78,1025.606,999.7,1015.998,1016.622,1017.533,1066.815,1083.486,1133.078,1192.802,0.001,,,,,,,685,3.8,5016.948,,,,,,,,,
690,86.2,1023.13,1000.068,1016.151,1016.693,1017.361,1058.278,1073.742,1115.997,1158.473,0.001,,,,,,,690,4.6,4189.347,,,,,,,,,
695,87,1022.898,999.946,1016.116,1016.685,1017.241,1041.832,1075.133,1142.971,1156.21,0.001,,,,,,,695,5,4780.306,,,,,,,,,
700,75.2,1026.565,1000.078,1016.182,1016.809,1024.94,1059.346,1084.005,1133.15,1166.843,0.001,,,,,,,700,4.2,5575.632,,,,,,,,,
705,76.6,1025.989,999.614,1015.992,1016.653,1017.646,1058.989,1083.93,1124.202,1225.891,0.001,,,,,,,705,2.8,5901.708,,,,,,,,,
710,87.6,1022.763,999.905,1016.076,1016.627,1017.288,1057.091,1074.493,1099.676,1176.096,0.001,,,,,,,710,3.8,4581.184,,,,,,,,,
715,81.2,1024.607,1000.155,1016.065,1016.646,1017.415,1058.525,1075.541,1150.595,1159.076,0.001,,,,,,,715,3.8,4843.052,,,,,,,,,
720,73,1027.339,1000.257,1016.082,1016.724,1017.954,1074.251,1089.809,1158.905,1176.123,0.001,,,,,,,720,4.2,4818.024,,,,,,,,,
725,85.8,1023.261,999.999,1016.087,1016.719,1017.283,1055.527,1075.78,1106.349,1375.376,0.001,,,,,,,725,5,4159.657,,,,,,,,,
730,91.4,1021.967,999.877,1016.039,1016.656,1017.172,1050.17,1067.193,1120.48,1208.033,0.001,,,,,,,730,5.4,4092.733,,,,,,,,,
735,83.8,1023.807,999.554,1015.858,1016.591,1017.194,1058.316,1076.362,1132.514,1176.242,0.001,,,,,,,735,4.4,4616.737,,,,,,,,,
740,90.8,1021.833,999.98,1016.134,1016.642,1017.24,1042.679,1067.135,1092.255,1109.126,0.001,,,,,,,740,3.6,5611.788,,,,,,,,,
745,78.2,1025.48,998.052,1015.918,1016.568,1017.253,1073.163,1090.635,1158.44,1283.478,0.001,,,,,,,745,3.6,5692.493,,,,,,,,,
750,81.4,1024.47,1000.188,1016.132,1016.71,1017.358,1059.472,1075.383,1116.107,1199.328,0.001,,,,,,,750,3.8,5945.677,,,,,,,,,
755,80.8,1024.911,1000.064,1016.118,1016.681,1017.454,1066.311,1083.103,1109.737,1164.671,0.001,,,,,,,755,3.4,4914.297,,,,,,,,,
760,91.4,1021.638,999.83,1016.035,1016.662,1017.172,1050.344,1067.323,1100.812,1150.202,0.001,,,,,,,760,3.6,6216.023,,,,,,,,,
765,92.8,1021.578,999.97,1016.123,1016.636,1017.245,1049.663,1066.43,1084.602,1142.186,0.001,,,,,,,765,3.4,4588.981,,,,,,,,,
770,90,1022.027,999.865,1016.003,1016.606,1017.177,1050.242,1074.632,1109.207,1134.578,0.001,,,,,,,770,4.4,4625.582,,,,,,,,,
775,95.4,1020.885,999.847,1016.131,1016.625,1017.145,1033.065,1066.288,1100.34,1233.907,0.001,,,,,,,775,3.4,6124.379,,,,,,,,,
780,93,1021.426,1000.103,1016.166,1016.667,1017.192,1026.022,1067.101,1125.502,1158.808,0.001,,,,,,,780,3.6,5601.697,,,,,,,,,
785,100,1020.088,1000.068,1016.153,1016.647,1017.174,1025.964,1058.957,1091.987,1107.995,0.001,,,,,,,785,3.2,5405.939,,,,,,,,,
790,88.6,1022.384,999.977,1016.142,1016.688,1017.244,1042.516,1074.319,1116.812,1141.505,0.001,,,,,,,790,4.2,3804.619,,,,,,,,,
